Total , Name           , Type          , Code
 90476, wiley          , eyes          ,   14
 90972, raisedbrow     , eyes          ,   19
 91880, orangesoda     , color1        ,   03
 93075, icy            , color3        ,   03
 93463, ragamuffin     , body          ,   14
 93920, aquamarine     , color1        ,   06
 96686, bananacream    , color1        ,   15
 99453, himalayan      , body          ,   11
103810, selkirk        , body          ,   01
104822, spock          , pattern       ,   12
105867, chocolate      , color2        ,   14
109125, topaz          , coloreyes     ,   02
112125, simple         , eyes          ,   05
112322, saycheese      , mouth         ,   10
115897, munchkin       , body          ,   12
120576, shadowgrey     , color1        ,   00
121864, sphynx         , body          ,   13
124393, amur           , pattern       ,   10
127316, sizzurp        , coloreyes     ,   05
134214, mauveover      , color1        ,   05
136739, mintgreen      , coloreyes     ,   03
139067, cottoncandy    , color1        ,   04
139097, ragdoll        , body          ,   15
145444, strawberry     , coloreyes     ,   07
156342, coffee         , color2        ,   12
157445, soserious      , mouth         ,   15
161458, luckystripe    , pattern       ,   09
162359, crazy          , eyes          ,   06
166471, greymatter     , color1        ,   10
169998, lemonade       , color2        ,   13
173507, swampgreen     , color2        ,   08
173724, royalpurple    , color2        ,   06
184738, happygokitty   , mouth         ,   14
204856, pouty          , mouth         ,   09
214846, kittencream    , color3        ,   06
219914, granitegrey    , color3        ,   04
223439, thicccbrowz    , eyes          ,   07
316028, totesbasic     , pattern       ,   15
